,Date,start time,Activity,end time
0,2010-11-04,00:03:50.209589,Sleeping,05:40:43.642664
1,2010-11-04,05:40:51.303739,Bed_to_Toilet,05:43:30.279021
2,2010-11-04,05:43:45.7324,Sleeping,08:01:12.28297
3,2010-11-04,08:11:09.966157,Meal_Preparation,08:35:45.822482
5,2010-11-04,09:29:23.223133,Relax,09:34:05.78057
6,2010-11-04,09:34:16.851472,Housekeeping,09:44:40.315639
7,2010-11-04,09:48:52.342223,Meal_Preparation,09:56:27.334395
9,2010-11-04,09:56:41.831135,Eating,10:02:48.9722
11,2010-11-04,10:03:21.966597,Wash_Dishes,10:04:25.772378
12,2010-11-04,11:29:08.108298,Housekeeping,11:33:48.313567
13,2010-11-04,11:41:34.029848,Leave_Home,11:41:43.345957
14,2010-11-04,11:43:30.094537,Enter_Home,11:43:34.683398
15,2010-11-04,11:43:53.784103,Leave_Home,11:43:58.371827
16,2010-11-04,11:47:48.042367,Enter_Home,11:47:52.575602
17,2010-11-04,14:46:25.648668,Relax,15:13:24.311043
18,2010-11-04,15:23:00.012287,Meal_Preparation,15:25:33.571046
19,2010-11-04,15:25:35.233346,Eating,15:28:42.550415
20,2010-11-04,15:47:48.178484,Work,16:10:33.632772
21,2010-11-04,16:15:57.476492,Relax,16:21:58.47367
22,2010-11-04,16:21:59.792013,Meal_Preparation,17:06:00.365984
25,2010-11-04,17:06:21.690589,Relax,17:27:12.16058
26,2010-11-04,17:27:13.899589,Meal_Preparation,17:27:55.351855
27,2010-11-04,17:28:26.929572,Relax,17:33:54.754187
28,2010-11-04,17:35:16.153016,Eating,17:37:11.693732
29,2010-11-04,17:37:24.341684,Wash_Dishes,17:55:20.509057
30,2010-11-04,17:55:24.901401,Work,17:57:47.39778
31,2010-11-05,00:00:11.187975,Sleeping,04:18:05.416805
32,2010-11-05,04:18:09.406239,Bed_to_Toilet,04:20:50.109684
33,2010-11-05,04:21:04.241472,Sleeping,07:48:11.449954
34,2010-11-05,07:54:57.970369,Meal_Preparation,07:58:23.566091
35,2010-11-05,07:58:49.065697,Work,09:30:15.583194
40,2010-11-05,09:35:08.728049,Relax,09:37:03.463118
41,2010-11-05,09:42:01.926042,Housekeeping,11:12:02.56436
42,2010-11-05,11:14:14.724634,Leave_Home,11:14:43.114534
43,2010-11-05,12:48:12.332642,Enter_Home,12:48:16.949591
44,2010-11-05,12:59:38.064949,Leave_Home,13:00:23.781043
45,2010-11-05,13:00:33.391399,Enter_Home,13:01:23.04294
46,2010-11-05,13:25:15.390393,Leave_Home,13:25:20.021554
47,2010-11-05,13:25:30.548695,Enter_Home,13:25:35.120939
48,2010-11-05,13:27:35.194985,Work,13:30:09.241181
49,2010-11-05,13:38:02.788861,Relax,13:45:53.711039
50,2010-11-05,13:49:02.32338,Leave_Home,13:49:08.753927
51,2010-11-05,15:50:59.393661,Enter_Home,15:51:04.444616
52,2010-11-05,16:00:09.934144,Leave_Home,16:00:14.165238
53,2010-11-05,16:19:06.936435,Enter_Home,16:19:10.650203
54,2010-11-05,16:19:38.608137,Meal_Preparation,16:25:35.478871
56,2010-11-05,16:25:44.067607,Eating,16:29:13.880311
57,2010-11-05,16:29:30.826602,Wash_Dishes,16:30:21.137501
58,2010-11-05,16:30:40.898509,Leave_Home,16:30:45.40169
59,2010-11-05,16:30:56.014672,Enter_Home,16:31:00.293569
60,2010-11-05,22:20:33.945948,Work,22:38:23.755897
61,2010-11-05,22:48:22.713829,Sleeping,04:23:40.440892
62,2010-11-06,04:23:50.544193,Bed_to_Toilet,04:27:00.048965
63,2010-11-06,04:27:34.65869,Sleeping,08:57:49.832587
64,2010-11-06,09:09:44.374728,Meal_Preparation,09:28:18.535625
66,2010-11-06,09:28:19.566626,Eating,09:37:40.974527
67,2010-11-06,09:38:24.364374,Wash_Dishes,09:41:18.711268
68,2010-11-06,10:28:15.508737,Work,10:30:39.829044
69,2010-11-06,10:36:44.701754,Housekeeping,11:11:04.974456
70,2010-11-06,11:11:08.204165,Relax,11:25:23.510404
71,2010-11-06,11:25:43.063825,Housekeeping,11:48:21.532025
72,2010-11-06,11:55:15.837614,Meal_Preparation,12:02:08.363476
74,2010-11-06,12:02:29.411879,Eating,12:09:53.753134
75,2010-11-06,12:09:59.911038,Wash_Dishes,12:11:57.556951
76,2010-11-06,12:35:50.690281,Eating,12:49:00.074717
77,2010-11-06,13:01:51.705939,Leave_Home,13:01:56.074024
78,2010-11-06,16:59:10.966903,Enter_Home,16:59:22.162185
79,2010-11-06,17:05:28.374194,Leave_Home,17:05:32.954193
80,2010-11-06,17:06:00.159226,Enter_Home,17:06:04.543748
81,2010-11-06,17:07:53.357148,Leave_Home,17:07:58.335361
82,2010-11-06,17:34:42.439944,Enter_Home,17:34:46.536715
83,2010-11-06,18:29:36.376297,Relax,23:26:55.246823
89,2010-11-06,23:28:33.047775,Work,23:52:55.711749
90,2010-11-07,00:02:39.00813,Sleeping,00:34:46.642929
91,2010-11-07,00:34:48.871659,Bed_to_Toilet,00:35:36.223
92,2010-11-07,00:36:18.148567,Sleeping,03:43:08.414022
93,2010-11-07,03:43:19.802838,Bed_to_Toilet,03:46:23.886632
94,2010-11-07,03:46:41.571929,Sleeping,03:47:14.894366
95,2010-11-07,03:49:20.647413,Bed_to_Toilet,03:51:17.964123
96,2010-11-07,03:51:21.614944,Sleeping,07:34:57.814105
97,2010-11-07,07:35:43.912388,Meal_Preparation,08:06:12.184786
100,2010-11-07,08:06:14.168036,Eating,08:13:27.570571
101,2010-11-07,08:14:48.888777,Relax,08:36:46.481578
103,2010-11-07,08:44:12.245569,Work,08:45:56.975464
104,2010-11-07,10:31:45.345624,Relax,11:55:25.556424
105,2010-11-07,12:03:08.220322,Meal_Preparation,12:06:32.634226
106,2010-11-07,12:08:27.137756,Eating,12:20:17.842926
107,2010-11-07,12:21:15.765005,Meal_Preparation,12:23:55.320607
108,2010-11-07,12:24:27.722796,Eating,12:30:34.879404
109,2010-11-07,12:30:42.297417,Relax,12:38:26.684561
110,2010-11-07,12:38:28.188402,Eating,12:54:59.342931
111,2010-11-07,13:46:10.826436,Relax,14:12:53.495189
112,2010-11-07,14:28:07.712028,Housekeeping,14:33:38.91903
113,2010-11-07,14:37:13.105518,Work,14:38:27.639022
114,2010-11-07,14:38:50.283829,Meal_Preparation,14:40:38.762112
115,2010-11-07,14:40:39.524104,Eating,14:42:49.951552
116,2010-11-07,14:43:42.669222,Relax,15:08:54.004132
117,2010-11-07,15:10:28.466169,Eating,15:13:19.302832
118,2010-11-07,15:40:57.803044,Meal_Preparation,15:41:58.739403
119,2010-11-07,15:42:09.462097,Eating,15:55:52.961299
120,2010-11-07,16:01:50.460408,Relax,16:09:33.513209
121,2010-11-07,16:09:55.680423,Work,16:11:51.257873
122,2010-11-07,16:14:12.480778,Relax,17:07:54.232099
126,2010-11-07,17:07:54.817874,Eating,17:12:21.378391
127,2010-11-07,17:19:51.470105,Meal_Preparation,17:30:23.571486
129,2010-11-07,17:30:26.962074,Eating,17:40:44.680561
130,2010-11-07,17:40:51.4936,Wash_Dishes,17:46:24.464045
131,2010-11-07,17:47:05.005592,Relax,19:37:57.037867
134,2010-11-07,19:52:24.284714,Work,20:05:57.659947
135,2010-11-07,20:37:41.433566,Eating,20:40:22.031282
136,2010-11-07,20:40:41.059492,Relax,23:45:22.614992
140,2010-11-07,23:52:03.472616,Sleeping,05:39:57.034884
141,2010-11-08,05:40:10.556874,Bed_to_Toilet,05:43:15.104099
142,2010-11-08,05:43:34.195173,Sleeping,08:06:37.384531
143,2010-11-08,08:15:47.321559,Meal_Preparation,08:39:50.879863
147,2010-11-08,08:40:00.630047,Relax,09:03:09.618666
148,2010-11-08,09:03:53.428128,Meal_Preparation,09:09:41.074812
149,2010-11-08,09:10:05.478644,Relax,09:20:37.475994
150,2010-11-08,09:37:57.316784,Meal_Preparation,09:44:21.161121
152,2010-11-08,09:49:03.443739,Relax,10:02:39.85003
153,2010-11-08,10:03:57.812263,Eating,11:31:46.985583
156,2010-11-08,11:42:48.328875,Leave_Home,11:43:03.215384
157,2010-11-08,11:44:23.962214,Enter_Home,11:44:32.517563
158,2010-11-08,11:44:42.262616,Leave_Home,11:44:48.64591
159,2010-11-08,11:45:44.937428,Enter_Home,11:45:48.932829
160,2010-11-08,11:46:08.320128,Leave_Home,11:46:08.702748
161,2010-11-08,13:46:28.65365,Enter_Home,13:46:43.441837
162,2010-11-08,13:58:31.614718,Meal_Preparation,14:06:07.105189
164,2010-11-08,14:06:15.423694,Eating,14:16:31.421845
165,2010-11-08,14:16:39.751108,Wash_Dishes,14:17:13.045627
166,2010-11-08,14:18:33.193917,Relax,16:14:22.236456
168,2010-11-08,16:31:39.516294,Housekeeping,16:40:02.500047
169,2010-11-08,16:42:31.01625,Leave_Home,16:42:35.689572
170,2010-11-08,16:56:49.231873,Enter_Home,16:56:54.053092
171,2010-11-08,17:09:23.08148,Work,17:10:17.865662
172,2010-11-08,17:25:02.276922,Leave_Home,17:25:15.349142
173,2010-11-08,17:33:06.880179,Enter_Home,17:33:11.712821
174,2010-11-08,17:33:30.221051,Work,18:04:32.99547
176,2010-11-08,18:06:26.507968,Relax,18:40:25.09419
177,2010-11-08,18:40:52.068229,Meal_Preparation,18:44:52.960217
179,2010-11-08,18:45:02.388028,Eating,18:54:49.472404
180,2010-11-08,18:58:10.053754,Relax,23:44:58.534781
187,2010-11-08,23:54:38.878674,Sleeping,00:30:28.196151
188,2010-11-09,00:30:32.314798,Bed_to_Toilet,00:32:54.868485
189,2010-11-09,00:33:12.725408,Sleeping,05:31:19.687641
190,2010-11-09,05:31:30.888221,Bed_to_Toilet,05:34:08.785188
191,2010-11-09,05:34:57.482141,Sleeping,08:39:58.539925
192,2010-11-09,08:46:52.121832,Meal_Preparation,09:11:00.465309
195,2010-11-09,09:11:50.019671,Relax,09:38:41.84304
197,2010-11-09,09:49:07.92758,Meal_Preparation,09:54:00.365887
199,2010-11-09,10:12:07.503478,Housekeeping,10:13:40.175418
200,2010-11-09,10:13:43.88319,Relax,10:23:28.722459
202,2010-11-09,10:24:01.271014,Housekeeping,11:32:39.604103
203,2010-11-09,11:34:08.955554,Leave_Home,11:34:14.011124
204,2010-11-09,11:36:36.675812,Enter_Home,11:36:41.283918
205,2010-11-09,11:41:42.069308,Leave_Home,11:41:46.482382
206,2010-11-09,13:47:23.047404,Enter_Home,13:47:28.062445
207,2010-11-09,13:47:37.712245,Eating,13:53:41.466364
208,2010-11-09,13:53:43.518502,Meal_Preparation,14:00:07.313702
210,2010-11-09,14:00:12.325108,Eating,14:08:35.143155
211,2010-11-09,14:08:45.389392,Relax,14:47:27.149145
213,2010-11-09,14:55:55.303188,Leave_Home,14:55:59.720855
214,2010-11-09,15:12:34.19129,Enter_Home,15:12:45.897423
215,2010-11-09,15:29:54.704294,Relax,16:24:09.65911
218,2010-11-09,17:48:01.047018,Meal_Preparation,18:06:36.73941
221,2010-11-09,18:06:45.636065,Eating,18:10:01.352728
222,2010-11-09,18:10:03.831302,Meal_Preparation,18:11:50.389407
223,2010-11-09,18:12:17.28905,Eating,19:01:21.91149
227,2010-11-09,19:02:07.264951,Wash_Dishes,19:10:41.954102
229,2010-11-09,19:17:56.674108,Work,20:41:22.831217
230,2010-11-09,20:47:48.450608,Relax,23:56:08.523442
233,2010-11-09,23:58:54.632904,Sleeping,00:00:05.651914
234,2010-11-10,00:09:31.789028,Sleeping,06:41:22.490407
235,2010-11-10,06:49:05.709143,Meal_Preparation,06:59:08.522332
236,2010-11-10,07:09:34.85202,Relax,07:25:55.601744
237,2010-11-10,07:28:14.353376,Meal_Preparation,07:29:15.972733
238,2010-11-10,07:30:09.401971,Relax,07:52:39.268138
239,2010-11-10,09:11:03.119121,Meal_Preparation,09:12:44.706099
240,2010-11-10,09:23:09.800579,Eating,09:29:04.902663
241,2010-11-10,09:39:57.126699,Leave_Home,09:40:01.514272
242,2010-11-10,17:39:33.534339,Enter_Home,17:39:41.216062
243,2010-11-10,18:11:20.190298,Meal_Preparation,18:28:01.002073
245,2010-11-10,18:28:50.456987,Eating,18:34:32.06548
246,2010-11-10,18:34:37.736245,Meal_Preparation,18:42:50.438237
247,2010-11-10,18:42:54.092155,Eating,18:53:30.347313
248,2010-11-10,19:01:49.782752,Relax,23:14:47.16263
255,2010-11-10,23:27:01.311306,Sleeping,05:13:53.86183
256,2010-11-11,05:13:58.821109,Bed_to_Toilet,05:16:28.261014
257,2010-11-11,05:16:35.591647,Sleeping,08:40:02.470947
258,2010-11-11,08:45:49.437596,Meal_Preparation,09:34:53.115622
260,2010-11-11,09:36:26.64247,Relax,09:51:34.892392
261,2010-11-11,09:52:07.049471,Work,09:53:14.082215
262,2010-11-11,09:57:49.474192,Meal_Preparation,10:07:10.759503
263,2010-11-11,10:07:37.847335,Eating,10:13:37.640651
264,2010-11-11,10:58:46.941822,Work,11:08:18.222138
265,2010-11-11,11:42:21.171465,Leave_Home,11:42:28.82673
266,2010-11-11,13:25:56.338867,Enter_Home,13:26:00.813557
267,2010-11-11,13:38:39.905647,Meal_Preparation,13:44:17.938952
268,2010-11-11,13:44:19.019213,Eating,13:52:16.239233
269,2010-11-11,13:57:04.663163,Relax,14:04:19.242492
270,2010-11-11,14:16:42.745099,Leave_Home,14:16:50.343741
271,2010-11-11,15:48:12.843945,Enter_Home,15:48:16.967001
272,2010-11-11,16:37:14.7004,Relax,19:44:34.371218
278,2010-11-11,19:57:55.013904,Meal_Preparation,20:00:48.132994
279,2010-11-11,20:05:21.358428,Relax,20:25:38.831939
280,2010-11-11,20:26:15.914823,Meal_Preparation,20:33:49.537926
282,2010-11-11,20:39:58.010314,Relax,20:51:07.802395
283,2010-11-11,20:52:25.484649,Meal_Preparation,20:53:04.723031
284,2010-11-11,21:02:07.230018,Work,21:22:06.418958
285,2010-11-11,21:22:27.333215,Meal_Preparation,21:23:29.195631
286,2010-11-11,21:24:03.050847,Relax,22:04:23.328047
287,2010-11-11,22:04:51.425642,Meal_Preparation,22:05:24.735201
288,2010-11-11,22:10:59.689887,Eating,22:24:14.708406
290,2010-11-11,22:40:27.73276,Sleeping,04:31:34.826655
291,2010-11-12,04:31:41.818859,Bed_to_Toilet,04:35:07.429031
292,2010-11-12,04:35:27.32216,Sleeping,08:13:41.655346
293,2010-11-12,08:27:36.340929,Meal_Preparation,08:51:32.841741
295,2010-11-12,08:52:32.123452,Relax,08:56:07.499941
296,2010-11-12,08:56:16.610413,Meal_Preparation,09:02:55.45608
297,2010-11-12,09:09:24.821474,Relax,09:44:27.305358
298,2010-11-12,10:06:52.301458,Meal_Preparation,10:32:26.758042
302,2010-11-12,10:37:55.724892,Eating,10:42:58.504102
303,2010-11-12,11:20:00.003069,Work,11:23:46.759039
304,2010-11-12,11:46:02.357588,Leave_Home,11:46:07.117334
305,2010-11-12,11:46:12.380361,Enter_Home,11:46:17.081377
306,2010-11-12,11:46:31.671941,Leave_Home,11:46:36.034292
307,2010-11-12,13:43:49.151516,Enter_Home,13:43:55.380126
308,2010-11-12,13:48:28.86742,Leave_Home,13:48:32.082747
309,2010-11-12,13:48:47.36436,Enter_Home,13:48:50.823997
310,2010-11-12,13:50:35.700848,Meal_Preparation,13:51:31.551697
311,2010-11-12,13:51:36.817131,Eating,14:03:02.763764
312,2010-11-12,14:21:49.357559,Leave_Home,14:21:53.925919
313,2010-11-12,15:12:29.629842,Enter_Home,15:12:33.90039
314,2010-11-12,15:23:03.964003,Work,15:56:34.634259
315,2010-11-12,15:57:41.247861,Housekeeping,16:09:35.43623
316,2010-11-12,16:10:45.180456,Work,16:38:02.664415
318,2010-11-12,16:39:04.831954,Meal_Preparation,16:40:00.105879
319,2010-11-12,16:42:51.955623,Leave_Home,16:42:58.003724
320,2010-11-12,16:43:09.469571,Enter_Home,16:43:13.445106
321,2010-11-12,16:43:20.192576,Meal_Preparation,16:44:21.655105
322,2010-11-12,16:45:34.509412,Eating,16:54:33.155886
323,2010-11-12,16:56:03.340698,Relax,23:41:35.863015
333,2010-11-12,23:56:52.10504,Sleeping,05:16:37.811402
334,2010-11-13,05:17:05.045679,Bed_to_Toilet,05:20:52.478511
335,2010-11-13,05:22:36.016359,Sleeping,08:54:13.759934
336,2010-11-13,08:57:07.95895,Meal_Preparation,09:29:03.202745
339,2010-11-13,09:50:34.478864,Relax,13:50:57.194265
342,2010-11-13,14:02:16.722362,Meal_Preparation,14:06:09.939803
343,2010-11-13,14:06:25.247248,Eating,14:14:19.830409
344,2010-11-13,14:18:50.125537,Relax,15:47:40.552426
346,2010-11-13,16:01:39.630821,Work,18:09:53.045522
348,2010-11-13,18:10:04.293244,Meal_Preparation,19:06:16.624975
350,2010-11-13,19:07:47.783006,Eating,19:20:03.301215
351,2010-11-13,19:20:39.854661,Wash_Dishes,19:22:00.084999
352,2010-11-13,19:33:04.167246,Relax,22:25:47.509504
357,2010-11-13,22:38:42.711766,Sleeping,06:02:01.813091
358,2010-11-14,06:10:26.891235,Meal_Preparation,06:27:57.825015
361,2010-11-14,06:28:35.05535,Eating,06:36:26.137579
362,2010-11-14,06:37:31.265286,Wash_Dishes,06:40:29.385573
363,2010-11-14,06:40:42.976826,Relax,08:18:42.95474
365,2010-11-14,08:20:05.829219,Leave_Home,08:20:10.254495
366,2010-11-14,12:02:35.399566,Enter_Home,12:02:39.500811
367,2010-11-14,12:04:56.744572,Relax,12:23:56.054716
368,2010-11-14,17:28:33.202314,Meal_Preparation,17:36:50.912503
369,2010-11-14,17:57:43.635992,Relax,18:10:54.90184
370,2010-11-14,18:11:11.00068,Meal_Preparation,18:16:28.498036
371,2010-11-14,18:16:46.548676,Relax,18:27:18.139836
372,2010-11-14,18:32:17.530641,Meal_Preparation,18:33:19.461671
373,2010-11-14,18:33:23.481093,Relax,19:27:48.512411
374,2010-11-14,19:28:11.265343,Meal_Preparation,19:29:24.855293
375,2010-11-14,19:29:29.823569,Relax,23:44:29.923735
378,2010-11-14,23:54:59.536321,Sleeping,05:32:10.699768
379,2010-11-15,05:32:17.493645,Bed_to_Toilet,05:35:44.973115
380,2010-11-15,05:35:52.238869,Sleeping,07:33:01.787337
381,2010-11-15,07:39:10.736423,Meal_Preparation,08:28:10.331848
383,2010-11-15,09:03:02.011753,Relax,10:21:12.611724
386,2010-11-15,10:21:31.332582,Work,10:27:51.513197
387,2010-11-15,10:36:33.750943,Housekeeping,10:39:45.385258
388,2010-11-15,10:41:25.625569,Leave_Home,10:41:31.841666
