,Date,start hour,start min,end hour,end min,Activity
0,2010-11-04,0,3,5,40,Sleeping
1,2010-11-04,5,40,5,43,Bed_to_Toilet
2,2010-11-04,5,43,8,1,Sleeping
3,2010-11-04,8,11,8,35,Meal_Preparation
4,2010-11-04,9,29,9,34,Relax
5,2010-11-04,9,34,9,44,Housekeeping
6,2010-11-04,9,48,9,56,Meal_Preparation
7,2010-11-04,9,56,10,2,Eating
8,2010-11-04,10,3,10,4,Wash_Dishes
9,2010-11-04,11,29,11,33,Housekeeping
10,2010-11-04,11,41,11,41,Leave_Home
11,2010-11-04,11,43,11,43,Enter_Home
12,2010-11-04,11,43,11,43,Leave_Home
13,2010-11-04,11,47,11,47,Enter_Home
14,2010-11-04,14,46,15,13,Relax
15,2010-11-04,15,23,15,25,Meal_Preparation
16,2010-11-04,15,25,15,28,Eating
17,2010-11-04,15,47,16,10,Work
18,2010-11-04,16,15,16,21,Relax
19,2010-11-04,16,21,17,6,Meal_Preparation
20,2010-11-04,17,6,17,27,Relax
21,2010-11-04,17,27,17,27,Meal_Preparation
22,2010-11-04,17,28,17,33,Relax
23,2010-11-04,17,35,17,37,Eating
24,2010-11-04,17,37,17,55,Wash_Dishes
25,2010-11-04,17,55,17,57,Work
26,2010-11-05,0,0,4,18,Sleeping
27,2010-11-05,4,18,4,20,Bed_to_Toilet
28,2010-11-05,4,21,7,48,Sleeping
29,2010-11-05,7,54,7,58,Meal_Preparation
30,2010-11-05,7,58,9,30,Work
31,2010-11-05,9,35,9,37,Relax
32,2010-11-05,9,42,11,12,Housekeeping
33,2010-11-05,11,14,11,14,Leave_Home
34,2010-11-05,12,48,12,48,Enter_Home
35,2010-11-05,12,59,13,0,Leave_Home
36,2010-11-05,13,0,13,1,Enter_Home
37,2010-11-05,13,25,13,25,Leave_Home
38,2010-11-05,13,25,13,25,Enter_Home
39,2010-11-05,13,27,13,30,Work
40,2010-11-05,13,38,13,45,Relax
41,2010-11-05,13,49,13,49,Leave_Home
42,2010-11-05,15,50,15,51,Enter_Home
43,2010-11-05,16,0,16,0,Leave_Home
44,2010-11-05,16,19,16,19,Enter_Home
45,2010-11-05,16,19,16,25,Meal_Preparation
46,2010-11-05,16,25,16,29,Eating
47,2010-11-05,16,29,16,30,Wash_Dishes
48,2010-11-05,16,30,16,30,Leave_Home
49,2010-11-05,16,30,16,31,Enter_Home
50,2010-11-05,22,20,22,38,Work
51,2010-11-05,22,48,4,23,Sleeping
52,2010-11-06,4,23,4,27,Bed_to_Toilet
53,2010-11-06,4,27,8,57,Sleeping
54,2010-11-06,9,9,9,28,Meal_Preparation
55,2010-11-06,9,28,9,37,Eating
56,2010-11-06,9,38,9,41,Wash_Dishes
57,2010-11-06,10,28,10,30,Work
58,2010-11-06,10,36,11,11,Housekeeping
59,2010-11-06,11,11,11,25,Relax
60,2010-11-06,11,25,11,48,Housekeeping
61,2010-11-06,11,55,12,2,Meal_Preparation
62,2010-11-06,12,2,12,9,Eating
63,2010-11-06,12,9,12,11,Wash_Dishes
64,2010-11-06,12,35,12,49,Eating
65,2010-11-06,13,1,13,1,Leave_Home
66,2010-11-06,16,59,16,59,Enter_Home
67,2010-11-06,17,5,17,5,Leave_Home
68,2010-11-06,17,6,17,6,Enter_Home
69,2010-11-06,17,7,17,7,Leave_Home
70,2010-11-06,17,34,17,34,Enter_Home
71,2010-11-06,18,29,23,26,Relax
72,2010-11-06,23,28,23,52,Work
73,2010-11-07,0,2,0,34,Sleeping
74,2010-11-07,0,34,0,35,Bed_to_Toilet
75,2010-11-07,0,36,3,43,Sleeping
76,2010-11-07,3,43,3,46,Bed_to_Toilet
77,2010-11-07,3,46,3,47,Sleeping
78,2010-11-07,3,49,3,51,Bed_to_Toilet
79,2010-11-07,3,51,7,34,Sleeping
80,2010-11-07,7,35,8,6,Meal_Preparation
81,2010-11-07,8,6,8,13,Eating
82,2010-11-07,8,14,8,36,Relax
83,2010-11-07,8,44,8,45,Work
84,2010-11-07,10,31,11,55,Relax
85,2010-11-07,12,3,12,6,Meal_Preparation
86,2010-11-07,12,8,12,20,Eating
87,2010-11-07,12,21,12,23,Meal_Preparation
88,2010-11-07,12,24,12,30,Eating
89,2010-11-07,12,30,12,38,Relax
90,2010-11-07,12,38,12,54,Eating
91,2010-11-07,13,46,14,12,Relax
92,2010-11-07,14,28,14,33,Housekeeping
93,2010-11-07,14,37,14,38,Work
94,2010-11-07,14,38,14,40,Meal_Preparation
95,2010-11-07,14,40,14,42,Eating
96,2010-11-07,14,43,15,8,Relax
97,2010-11-07,15,10,15,13,Eating
98,2010-11-07,15,40,15,41,Meal_Preparation
99,2010-11-07,15,42,15,55,Eating
100,2010-11-07,16,1,16,9,Relax
101,2010-11-07,16,9,16,11,Work
102,2010-11-07,16,14,17,7,Relax
103,2010-11-07,17,7,17,12,Eating
104,2010-11-07,17,19,17,30,Meal_Preparation
105,2010-11-07,17,30,17,40,Eating
106,2010-11-07,17,40,17,46,Wash_Dishes
107,2010-11-07,17,47,19,37,Relax
108,2010-11-07,19,52,20,5,Work
109,2010-11-07,20,37,20,40,Eating
110,2010-11-07,20,40,23,45,Relax
111,2010-11-07,23,52,5,39,Sleeping
112,2010-11-08,5,40,5,43,Bed_to_Toilet
113,2010-11-08,5,43,8,6,Sleeping
114,2010-11-08,8,15,8,39,Meal_Preparation
115,2010-11-08,8,40,9,3,Relax
116,2010-11-08,9,3,9,9,Meal_Preparation
117,2010-11-08,9,10,9,20,Relax
118,2010-11-08,9,37,9,44,Meal_Preparation
119,2010-11-08,9,49,10,2,Relax
120,2010-11-08,10,3,11,31,Eating
121,2010-11-08,11,42,11,43,Leave_Home
122,2010-11-08,11,44,11,44,Enter_Home
123,2010-11-08,11,44,11,44,Leave_Home
124,2010-11-08,11,45,11,45,Enter_Home
125,2010-11-08,11,46,11,46,Leave_Home
126,2010-11-08,13,46,13,46,Enter_Home
127,2010-11-08,13,58,14,6,Meal_Preparation
128,2010-11-08,14,6,14,16,Eating
129,2010-11-08,14,16,14,17,Wash_Dishes
130,2010-11-08,14,18,16,14,Relax
131,2010-11-08,16,31,16,40,Housekeeping
132,2010-11-08,16,42,16,42,Leave_Home
133,2010-11-08,16,56,16,56,Enter_Home
134,2010-11-08,17,9,17,10,Work
135,2010-11-08,17,25,17,25,Leave_Home
136,2010-11-08,17,33,17,33,Enter_Home
137,2010-11-08,17,33,18,4,Work
138,2010-11-08,18,6,18,40,Relax
139,2010-11-08,18,40,18,44,Meal_Preparation
140,2010-11-08,18,45,18,54,Eating
141,2010-11-08,18,58,23,44,Relax
142,2010-11-08,23,54,0,30,Sleeping
143,2010-11-09,0,30,0,32,Bed_to_Toilet
144,2010-11-09,0,33,5,31,Sleeping
145,2010-11-09,5,31,5,34,Bed_to_Toilet
146,2010-11-09,5,34,8,39,Sleeping
147,2010-11-09,8,46,9,11,Meal_Preparation
148,2010-11-09,9,11,9,38,Relax
149,2010-11-09,9,49,9,54,Meal_Preparation
150,2010-11-09,10,12,10,13,Housekeeping
151,2010-11-09,10,13,10,23,Relax
152,2010-11-09,10,24,11,32,Housekeeping
153,2010-11-09,11,34,11,34,Leave_Home
154,2010-11-09,11,36,11,36,Enter_Home
155,2010-11-09,11,41,11,41,Leave_Home
156,2010-11-09,13,47,13,47,Enter_Home
157,2010-11-09,13,47,13,53,Eating
158,2010-11-09,13,53,14,0,Meal_Preparation
159,2010-11-09,14,0,14,8,Eating
160,2010-11-09,14,8,14,47,Relax
161,2010-11-09,14,55,14,55,Leave_Home
162,2010-11-09,15,12,15,12,Enter_Home
163,2010-11-09,15,29,16,24,Relax
164,2010-11-09,17,48,18,6,Meal_Preparation
165,2010-11-09,18,6,18,10,Eating
166,2010-11-09,18,10,18,11,Meal_Preparation
167,2010-11-09,18,12,19,1,Eating
168,2010-11-09,19,2,19,10,Wash_Dishes
169,2010-11-09,19,17,20,41,Work
170,2010-11-09,20,47,23,56,Relax
171,2010-11-09,23,58,0,0,Sleeping
172,2010-11-10,0,9,6,41,Sleeping
173,2010-11-10,6,49,6,59,Meal_Preparation
174,2010-11-10,7,9,7,25,Relax
175,2010-11-10,7,28,7,29,Meal_Preparation
176,2010-11-10,7,30,7,52,Relax
177,2010-11-10,9,11,9,12,Meal_Preparation
178,2010-11-10,9,23,9,29,Eating
179,2010-11-10,9,39,9,40,Leave_Home
180,2010-11-10,17,39,17,39,Enter_Home
181,2010-11-10,18,11,18,28,Meal_Preparation
182,2010-11-10,18,28,18,34,Eating
183,2010-11-10,18,34,18,42,Meal_Preparation
184,2010-11-10,18,42,18,53,Eating
185,2010-11-10,19,1,23,14,Relax
186,2010-11-10,23,27,5,13,Sleeping
187,2010-11-11,5,13,5,16,Bed_to_Toilet
188,2010-11-11,5,16,8,40,Sleeping
189,2010-11-11,8,45,9,34,Meal_Preparation
190,2010-11-11,9,36,9,51,Relax
191,2010-11-11,9,52,9,53,Work
192,2010-11-11,9,57,10,7,Meal_Preparation
193,2010-11-11,10,7,10,13,Eating
194,2010-11-11,10,58,11,8,Work
195,2010-11-11,11,42,11,42,Leave_Home
196,2010-11-11,13,25,13,26,Enter_Home
197,2010-11-11,13,38,13,44,Meal_Preparation
198,2010-11-11,13,44,13,52,Eating
199,2010-11-11,13,57,14,4,Relax
200,2010-11-11,14,16,14,16,Leave_Home
201,2010-11-11,15,48,15,48,Enter_Home
202,2010-11-11,16,37,19,44,Relax
203,2010-11-11,19,57,20,0,Meal_Preparation
204,2010-11-11,20,5,20,25,Relax
205,2010-11-11,20,26,20,33,Meal_Preparation
206,2010-11-11,20,39,20,51,Relax
207,2010-11-11,20,52,20,53,Meal_Preparation
208,2010-11-11,21,2,21,22,Work
209,2010-11-11,21,22,21,23,Meal_Preparation
210,2010-11-11,21,24,22,4,Relax
211,2010-11-11,22,4,22,5,Meal_Preparation
212,2010-11-11,22,10,22,24,Eating
213,2010-11-11,22,40,4,31,Sleeping
214,2010-11-12,4,31,4,35,Bed_to_Toilet
215,2010-11-12,4,35,8,13,Sleeping
216,2010-11-12,8,27,8,51,Meal_Preparation
217,2010-11-12,8,52,8,56,Relax
218,2010-11-12,8,56,9,2,Meal_Preparation
219,2010-11-12,9,9,9,44,Relax
220,2010-11-12,10,6,10,32,Meal_Preparation
221,2010-11-12,10,37,10,42,Eating
222,2010-11-12,11,20,11,23,Work
223,2010-11-12,11,46,11,46,Leave_Home
224,2010-11-12,11,46,11,46,Enter_Home
225,2010-11-12,11,46,11,46,Leave_Home
226,2010-11-12,13,43,13,43,Enter_Home
227,2010-11-12,13,48,13,48,Leave_Home
228,2010-11-12,13,48,13,48,Enter_Home
229,2010-11-12,13,50,13,51,Meal_Preparation
230,2010-11-12,13,51,14,3,Eating
231,2010-11-12,14,21,14,21,Leave_Home
232,2010-11-12,15,12,15,12,Enter_Home
233,2010-11-12,15,23,15,56,Work
234,2010-11-12,15,57,16,9,Housekeeping
235,2010-11-12,16,10,16,38,Work
236,2010-11-12,16,39,16,40,Meal_Preparation
237,2010-11-12,16,42,16,42,Leave_Home
238,2010-11-12,16,43,16,43,Enter_Home
239,2010-11-12,16,43,16,44,Meal_Preparation
240,2010-11-12,16,45,16,54,Eating
241,2010-11-12,16,56,23,41,Relax
242,2010-11-12,23,56,5,16,Sleeping
