,Date,start time,Activity,end time,duration
0,2010-11-04,00:03:50.209589,Sleeping,05:40:43.642664,0 days 05:36:53.433075000
1,2010-11-04,05:40:51.303739,Bed_to_Toilet,05:43:30.279021,0 days 00:02:38.975282000
2,2010-11-04,05:43:45.7324,Sleeping,08:01:12.28297,0 days 02:17:26.550570000
3,2010-11-04,08:11:09.966157,Meal_Preparation,08:35:45.822482,0 days 00:15:52.835157000
4,2010-11-04,09:29:23.223133,Relax,09:34:05.78057,0 days 00:04:42.557437000
5,2010-11-04,09:34:16.851472,Housekeeping,09:44:40.315639,0 days 00:10:23.464167000
6,2010-11-04,09:48:52.342223,Meal_Preparation,09:56:27.334395,0 days 00:04:10.612222000
7,2010-11-04,09:56:41.831135,Eating,10:02:48.9722,0 days 00:02:22.607199000
8,2010-11-04,10:03:21.966597,Wash_Dishes,10:04:25.772378,0 days 00:01:03.805781000
9,2010-11-04,11:29:08.108298,Housekeeping,11:33:48.313567,0 days 00:04:40.205269000
10,2010-11-04,11:41:34.029848,Leave_Home,11:41:43.345957,0 days 00:00:09.316109000
11,2010-11-04,11:43:30.094537,Enter_Home,11:43:34.683398,0 days 00:00:04.588861000
12,2010-11-04,11:43:53.784103,Leave_Home,11:43:58.371827,0 days 00:00:04.587724000
13,2010-11-04,11:47:48.042367,Enter_Home,11:47:52.575602,0 days 00:00:04.533235000
14,2010-11-04,14:46:25.648668,Relax,15:13:24.311043,0 days 00:26:58.662375000
15,2010-11-04,15:23:00.012287,Meal_Preparation,15:25:33.571046,0 days 00:02:33.558759000
16,2010-11-04,15:25:35.233346,Eating,15:28:42.550415,0 days 00:03:07.317069000
17,2010-11-04,15:47:48.178484,Work,16:10:33.632772,0 days 00:22:45.454288000
18,2010-11-04,16:15:57.476492,Relax,16:21:58.47367,0 days 00:06:00.997178000
19,2010-11-04,16:21:59.792013,Meal_Preparation,17:06:00.365984,0 days 00:09:26.988928000
20,2010-11-04,17:06:21.690589,Relax,17:27:12.16058,0 days 00:20:50.469991000
21,2010-11-04,17:27:13.899589,Meal_Preparation,17:27:55.351855,0 days 00:00:41.452266000
22,2010-11-04,17:28:26.929572,Relax,17:33:54.754187,0 days 00:05:27.824615000
23,2010-11-04,17:35:16.153016,Eating,17:37:11.693732,0 days 00:01:55.540716000
24,2010-11-04,17:37:24.341684,Wash_Dishes,17:55:20.509057,0 days 00:17:56.167373000
25,2010-11-04,17:55:24.901401,Work,17:57:47.39778,0 days 00:02:22.496379000
26,2010-11-05,00:00:11.187975,Sleeping,04:18:05.416805,0 days 04:17:54.228830000
27,2010-11-05,04:18:09.406239,Bed_to_Toilet,04:20:50.109684,0 days 00:02:40.703445000
28,2010-11-05,04:21:04.241472,Sleeping,07:48:11.449954,0 days 03:27:07.208482000
29,2010-11-05,07:54:57.970369,Meal_Preparation,07:58:23.566091,0 days 00:03:25.595722000
30,2010-11-05,07:58:49.065697,Work,09:30:15.583194,0 days 00:02:10.878583000
31,2010-11-05,09:35:08.728049,Relax,09:37:03.463118,0 days 00:01:54.735069000
32,2010-11-05,09:42:01.926042,Housekeeping,11:12:02.56436,0 days 01:30:00.638318000
33,2010-11-05,11:14:14.724634,Leave_Home,11:14:43.114534,0 days 00:00:28.389900000
34,2010-11-05,12:48:12.332642,Enter_Home,12:48:16.949591,0 days 00:00:04.616949000
35,2010-11-05,12:59:38.064949,Leave_Home,13:00:23.781043,0 days 00:00:45.716094000
36,2010-11-05,13:00:33.391399,Enter_Home,13:01:23.04294,0 days 00:00:49.651541000
37,2010-11-05,13:25:15.390393,Leave_Home,13:25:20.021554,0 days 00:00:04.631161000
38,2010-11-05,13:25:30.548695,Enter_Home,13:25:35.120939,0 days 00:00:04.572244000
39,2010-11-05,13:27:35.194985,Work,13:30:09.241181,0 days 00:02:34.046196000
40,2010-11-05,13:38:02.788861,Relax,13:45:53.711039,0 days 00:07:50.922178000
41,2010-11-05,13:49:02.32338,Leave_Home,13:49:08.753927,0 days 00:00:06.430547000
42,2010-11-05,15:50:59.393661,Enter_Home,15:51:04.444616,0 days 00:00:05.050955000
43,2010-11-05,16:00:09.934144,Leave_Home,16:00:14.165238,0 days 00:00:04.231094000
44,2010-11-05,16:19:06.936435,Enter_Home,16:19:10.650203,0 days 00:00:03.713768000
45,2010-11-05,16:19:38.608137,Meal_Preparation,16:25:35.478871,0 days 00:00:26.151365000
46,2010-11-05,16:25:44.067607,Eating,16:29:13.880311,0 days 00:03:29.812704000
47,2010-11-05,16:29:30.826602,Wash_Dishes,16:30:21.137501,0 days 00:00:50.310899000
48,2010-11-05,16:30:40.898509,Leave_Home,16:30:45.40169,0 days 00:00:04.503181000
49,2010-11-05,16:30:56.014672,Enter_Home,16:31:00.293569,0 days 00:00:04.278897000
50,2010-11-05,22:20:33.945948,Work,22:38:23.755897,0 days 00:17:49.809949000
51,2010-11-05,22:48:22.713829,Sleeping,04:23:40.440892,0 days 05:35:17.727063000
52,2010-11-06,04:23:50.544193,Bed_to_Toilet,04:27:00.048965,0 days 00:03:09.504772000
53,2010-11-06,04:27:34.65869,Sleeping,08:57:49.832587,0 days 04:30:15.173897000
54,2010-11-06,09:09:44.374728,Meal_Preparation,09:28:18.535625,0 days 00:09:30.344407000
55,2010-11-06,09:28:19.566626,Eating,09:37:40.974527,0 days 00:09:21.407901000
56,2010-11-06,09:38:24.364374,Wash_Dishes,09:41:18.711268,0 days 00:02:54.346894000
57,2010-11-06,10:28:15.508737,Work,10:30:39.829044,0 days 00:02:24.320307000
58,2010-11-06,10:36:44.701754,Housekeeping,11:11:04.974456,0 days 00:34:20.272702000
59,2010-11-06,11:11:08.204165,Relax,11:25:23.510404,0 days 00:14:15.306239000
60,2010-11-06,11:25:43.063825,Housekeeping,11:48:21.532025,0 days 00:22:38.468200000
61,2010-11-06,11:55:15.837614,Meal_Preparation,12:02:08.363476,0 days 00:00:55.509591000
62,2010-11-06,12:02:29.411879,Eating,12:09:53.753134,0 days 00:07:24.341255000
63,2010-11-06,12:09:59.911038,Wash_Dishes,12:11:57.556951,0 days 00:01:57.645913000
64,2010-11-06,12:35:50.690281,Eating,12:49:00.074717,0 days 00:13:09.384436000
65,2010-11-06,13:01:51.705939,Leave_Home,13:01:56.074024,0 days 00:00:04.368085000
66,2010-11-06,16:59:10.966903,Enter_Home,16:59:22.162185,0 days 00:00:11.195282000
67,2010-11-06,17:05:28.374194,Leave_Home,17:05:32.954193,0 days 00:00:04.579999000
68,2010-11-06,17:06:00.159226,Enter_Home,17:06:04.543748,0 days 00:00:04.384522000
69,2010-11-06,17:07:53.357148,Leave_Home,17:07:58.335361,0 days 00:00:04.978213000
70,2010-11-06,17:34:42.439944,Enter_Home,17:34:46.536715,0 days 00:00:04.096771000
71,2010-11-06,18:29:36.376297,Relax,23:26:55.246823,0 days 00:11:42.265553000
72,2010-11-06,23:28:33.047775,Work,23:52:55.711749,0 days 00:24:22.663974000
73,2010-11-07,00:02:39.00813,Sleeping,00:34:46.642929,0 days 00:32:07.634799000
74,2010-11-07,00:34:48.871659,Bed_to_Toilet,00:35:36.223,0 days 00:00:47.351341000
75,2010-11-07,00:36:18.148567,Sleeping,03:43:08.414022,0 days 03:06:50.265455000
76,2010-11-07,03:43:19.802838,Bed_to_Toilet,03:46:23.886632,0 days 00:03:04.083794000
77,2010-11-07,03:46:41.571929,Sleeping,03:47:14.894366,0 days 00:00:33.322437000
78,2010-11-07,03:49:20.647413,Bed_to_Toilet,03:51:17.964123,0 days 00:01:57.316710000
79,2010-11-07,03:51:21.614944,Sleeping,07:34:57.814105,0 days 03:43:36.199161000
80,2010-11-07,07:35:43.912388,Meal_Preparation,08:06:12.184786,0 days 00:01:29.856939000
81,2010-11-07,08:06:14.168036,Eating,08:13:27.570571,0 days 00:07:13.402535000
82,2010-11-07,08:14:48.888777,Relax,08:36:46.481578,0 days 00:16:06.526662000
83,2010-11-07,08:44:12.245569,Work,08:45:56.975464,0 days 00:01:44.729895000
84,2010-11-07,10:31:45.345624,Relax,11:55:25.556424,0 days 01:23:40.210800000
85,2010-11-07,12:03:08.220322,Meal_Preparation,12:06:32.634226,0 days 00:03:24.413904000
86,2010-11-07,12:08:27.137756,Eating,12:20:17.842926,0 days 00:11:50.705170000
87,2010-11-07,12:21:15.765005,Meal_Preparation,12:23:55.320607,0 days 00:02:39.555602000
88,2010-11-07,12:24:27.722796,Eating,12:30:34.879404,0 days 00:06:07.156608000
89,2010-11-07,12:30:42.297417,Relax,12:38:26.684561,0 days 00:07:44.387144000
90,2010-11-07,12:38:28.188402,Eating,12:54:59.342931,0 days 00:16:31.154529000
91,2010-11-07,13:46:10.826436,Relax,14:12:53.495189,0 days 00:26:42.668753000
92,2010-11-07,14:28:07.712028,Housekeeping,14:33:38.91903,0 days 00:05:31.207002000
93,2010-11-07,14:37:13.105518,Work,14:38:27.639022,0 days 00:01:14.533504000
94,2010-11-07,14:38:50.283829,Meal_Preparation,14:40:38.762112,0 days 00:01:48.478283000
95,2010-11-07,14:40:39.524104,Eating,14:42:49.951552,0 days 00:02:10.427448000
96,2010-11-07,14:43:42.669222,Relax,15:08:54.004132,0 days 00:25:11.334910000
97,2010-11-07,15:10:28.466169,Eating,15:13:19.302832,0 days 00:02:50.836663000
98,2010-11-07,15:40:57.803044,Meal_Preparation,15:41:58.739403,0 days 00:01:00.936359000
99,2010-11-07,15:42:09.462097,Eating,15:55:52.961299,0 days 00:13:43.499202000
100,2010-11-07,16:01:50.460408,Relax,16:09:33.513209,0 days 00:07:43.052801000
101,2010-11-07,16:09:55.680423,Work,16:11:51.257873,0 days 00:01:55.577450000
102,2010-11-07,16:14:12.480778,Relax,17:07:54.232099,0 days 00:07:28.169269000
103,2010-11-07,17:07:54.817874,Eating,17:12:21.378391,0 days 00:04:26.560517000
104,2010-11-07,17:19:51.470105,Meal_Preparation,17:30:23.571486,0 days 00:07:17.924176000
105,2010-11-07,17:30:26.962074,Eating,17:40:44.680561,0 days 00:10:17.718487000
106,2010-11-07,17:40:51.4936,Wash_Dishes,17:46:24.464045,0 days 00:05:32.970445000
107,2010-11-07,17:47:05.005592,Relax,19:37:57.037867,0 days 00:28:22.378782000
108,2010-11-07,19:52:24.284714,Work,20:05:57.659947,0 days 00:13:33.375233000
109,2010-11-07,20:37:41.433566,Eating,20:40:22.031282,0 days 00:02:40.597716000
110,2010-11-07,20:40:41.059492,Relax,23:45:22.614992,0 days 01:07:32.611438000
111,2010-11-07,23:52:03.472616,Sleeping,05:39:57.034884,0 days 05:47:53.562268000
112,2010-11-08,05:40:10.556874,Bed_to_Toilet,05:43:15.104099,0 days 00:03:04.547225000
113,2010-11-08,05:43:34.195173,Sleeping,08:06:37.384531,0 days 02:23:03.189358000
114,2010-11-08,08:15:47.321559,Meal_Preparation,08:39:50.879863,0 days 00:03:39.125648000
115,2010-11-08,08:40:00.630047,Relax,09:03:09.618666,0 days 00:23:08.988619000
116,2010-11-08,09:03:53.428128,Meal_Preparation,09:09:41.074812,0 days 00:05:47.646684000
117,2010-11-08,09:10:05.478644,Relax,09:20:37.475994,0 days 00:10:31.997350000
118,2010-11-08,09:37:57.316784,Meal_Preparation,09:44:21.161121,0 days 00:00:56.133265000
119,2010-11-08,09:49:03.443739,Relax,10:02:39.85003,0 days 00:13:36.406291000
120,2010-11-08,10:03:57.812263,Eating,11:31:46.985583,0 days 00:21:08.103851000
121,2010-11-08,11:42:48.328875,Leave_Home,11:43:03.215384,0 days 00:00:14.886509000
122,2010-11-08,11:44:23.962214,Enter_Home,11:44:32.517563,0 days 00:00:08.555349000
123,2010-11-08,11:44:42.262616,Leave_Home,11:44:48.64591,0 days 00:00:06.383294000
