,Date,start hour,start min,end hour,end min,Activity
0,2010-11-04,0,3,5,40,Sleeping
1,2010-11-04,5,40,5,43,Bed_to_Toilet
2,2010-11-04,5,43,8,1,Sleeping
3,2010-11-04,8,11,8,35,Meal_Preparation
4,2010-11-04,9,29,9,34,Relax
5,2010-11-04,9,34,9,44,Housekeeping
6,2010-11-04,9,48,9,56,Meal_Preparation
7,2010-11-04,9,56,10,2,Eating
8,2010-11-04,10,3,10,4,Wash_Dishes
9,2010-11-04,11,29,11,33,Housekeeping
10,2010-11-04,11,41,11,41,Leave_Home
11,2010-11-04,11,43,11,43,Enter_Home
12,2010-11-04,11,43,11,43,Leave_Home
13,2010-11-04,11,47,11,47,Enter_Home
14,2010-11-04,14,46,15,13,Relax
15,2010-11-04,15,23,15,25,Meal_Preparation
16,2010-11-04,15,25,15,28,Eating
17,2010-11-04,15,47,16,10,Work
18,2010-11-04,16,15,16,21,Relax
19,2010-11-04,16,21,17,6,Meal_Preparation
20,2010-11-04,17,6,17,27,Relax
21,2010-11-04,17,27,17,27,Meal_Preparation
22,2010-11-04,17,28,17,33,Relax
23,2010-11-04,17,35,17,37,Eating
24,2010-11-04,17,37,17,55,Wash_Dishes
25,2010-11-04,17,55,17,57,Work
26,2010-11-05,0,0,4,18,Sleeping
27,2010-11-05,4,18,4,20,Bed_to_Toilet
28,2010-11-05,4,21,7,48,Sleeping
29,2010-11-05,7,54,7,58,Meal_Preparation
30,2010-11-05,7,58,9,30,Work
31,2010-11-05,9,35,9,37,Relax
32,2010-11-05,9,42,11,12,Housekeeping
33,2010-11-05,11,14,11,14,Leave_Home
34,2010-11-05,12,48,12,48,Enter_Home
35,2010-11-05,12,59,13,0,Leave_Home
36,2010-11-05,13,0,13,1,Enter_Home
37,2010-11-05,13,25,13,25,Leave_Home
38,2010-11-05,13,25,13,25,Enter_Home
39,2010-11-05,13,27,13,30,Work
40,2010-11-05,13,38,13,45,Relax
41,2010-11-05,13,49,13,49,Leave_Home
42,2010-11-05,15,50,15,51,Enter_Home
43,2010-11-05,16,0,16,0,Leave_Home
44,2010-11-05,16,19,16,19,Enter_Home
45,2010-11-05,16,19,16,25,Meal_Preparation
46,2010-11-05,16,25,16,29,Eating
47,2010-11-05,16,29,16,30,Wash_Dishes
48,2010-11-05,16,30,16,30,Leave_Home
49,2010-11-05,16,30,16,31,Enter_Home
50,2010-11-05,22,20,22,38,Work
51,2010-11-05,22,48,4,23,Sleeping
52,2010-11-06,4,23,4,27,Bed_to_Toilet
53,2010-11-06,4,27,8,57,Sleeping
54,2010-11-06,9,9,9,28,Meal_Preparation
55,2010-11-06,9,28,9,37,Eating
56,2010-11-06,9,38,9,41,Wash_Dishes
57,2010-11-06,10,28,10,30,Work
58,2010-11-06,10,36,11,11,Housekeeping
59,2010-11-06,11,11,11,25,Relax
60,2010-11-06,11,25,11,48,Housekeeping
61,2010-11-06,11,55,12,2,Meal_Preparation
62,2010-11-06,12,2,12,9,Eating
63,2010-11-06,12,9,12,11,Wash_Dishes
64,2010-11-06,12,35,12,49,Eating
65,2010-11-06,13,1,13,1,Leave_Home
66,2010-11-06,16,59,16,59,Enter_Home
67,2010-11-06,17,5,17,5,Leave_Home
68,2010-11-06,17,6,17,6,Enter_Home
69,2010-11-06,17,7,17,7,Leave_Home
70,2010-11-06,17,34,17,34,Enter_Home
71,2010-11-06,18,29,23,26,Relax
72,2010-11-06,23,28,23,52,Work
73,2010-11-09,0,30,0,32,Bed_to_Toilet
74,2010-11-09,0,33,5,31,Sleeping
75,2010-11-09,5,31,5,34,Bed_to_Toilet
76,2010-11-09,5,34,8,39,Sleeping
77,2010-11-09,8,46,9,11,Meal_Preparation
78,2010-11-09,9,11,9,38,Relax
79,2010-11-09,9,49,9,54,Meal_Preparation
80,2010-11-09,10,12,10,13,Housekeeping
81,2010-11-09,10,13,10,23,Relax
82,2010-11-09,10,24,11,32,Housekeeping
83,2010-11-09,11,34,11,34,Leave_Home
84,2010-11-09,11,36,11,36,Enter_Home
85,2010-11-09,11,41,11,41,Leave_Home
86,2010-11-09,13,47,13,47,Enter_Home
87,2010-11-09,13,47,13,53,Eating
88,2010-11-09,13,53,14,0,Meal_Preparation
89,2010-11-09,14,0,14,8,Eating
90,2010-11-09,14,8,14,47,Relax
91,2010-11-09,14,55,14,55,Leave_Home
92,2010-11-09,15,12,15,12,Enter_Home
93,2010-11-09,15,29,16,24,Relax
94,2010-11-09,17,48,18,6,Meal_Preparation
95,2010-11-09,18,6,18,10,Eating
96,2010-11-09,18,10,18,11,Meal_Preparation
97,2010-11-09,18,12,19,1,Eating
98,2010-11-09,19,2,19,10,Wash_Dishes
99,2010-11-09,19,17,20,41,Work
100,2010-11-09,20,47,23,56,Relax
101,2010-11-09,23,58,0,0,Sleeping
102,2010-11-10,0,9,6,41,Sleeping
103,2010-11-10,6,49,6,59,Meal_Preparation
104,2010-11-10,7,9,7,25,Relax
105,2010-11-10,7,28,7,29,Meal_Preparation
106,2010-11-10,7,30,7,52,Relax
107,2010-11-10,9,11,9,12,Meal_Preparation
108,2010-11-10,9,23,9,29,Eating
109,2010-11-10,9,39,9,40,Leave_Home
110,2010-11-10,17,39,17,39,Enter_Home
111,2010-11-10,18,11,18,28,Meal_Preparation
112,2010-11-10,18,28,18,34,Eating
113,2010-11-10,18,34,18,42,Meal_Preparation
114,2010-11-10,18,42,18,53,Eating
115,2010-11-10,19,1,23,14,Relax
116,2010-11-10,23,27,5,13,Sleeping
117,2010-11-11,5,13,5,16,Bed_to_Toilet
118,2010-11-11,5,16,8,40,Sleeping
119,2010-11-11,8,45,9,34,Meal_Preparation
120,2010-11-11,9,36,9,51,Relax
121,2010-11-11,9,52,9,53,Work
122,2010-11-11,9,57,10,7,Meal_Preparation
123,2010-11-11,10,7,10,13,Eating
124,2010-11-11,10,58,11,8,Work
125,2010-11-11,11,42,11,42,Leave_Home
126,2010-11-11,13,25,13,26,Enter_Home
127,2010-11-11,13,38,13,44,Meal_Preparation
128,2010-11-11,13,44,13,52,Eating
129,2010-11-11,13,57,14,4,Relax
130,2010-11-11,14,16,14,16,Leave_Home
131,2010-11-11,15,48,15,48,Enter_Home
132,2010-11-11,16,37,19,44,Relax
133,2010-11-11,19,57,20,0,Meal_Preparation
134,2010-11-11,20,5,20,25,Relax
135,2010-11-11,20,26,20,33,Meal_Preparation
136,2010-11-11,20,39,20,51,Relax
137,2010-11-11,20,52,20,53,Meal_Preparation
138,2010-11-11,21,2,21,22,Work
139,2010-11-11,21,22,21,23,Meal_Preparation
140,2010-11-11,21,24,22,4,Relax
141,2010-11-11,22,4,22,5,Meal_Preparation
142,2010-11-11,22,10,22,24,Eating
143,2010-11-11,22,40,4,31,Sleeping
144,2010-11-12,4,31,4,35,Bed_to_Toilet
145,2010-11-12,4,35,8,13,Sleeping
146,2010-11-12,8,27,8,51,Meal_Preparation
147,2010-11-12,8,52,8,56,Relax
148,2010-11-12,8,56,9,2,Meal_Preparation
149,2010-11-12,9,9,9,44,Relax
150,2010-11-12,10,6,10,32,Meal_Preparation
151,2010-11-12,10,37,10,42,Eating
152,2010-11-12,11,20,11,23,Work
153,2010-11-12,11,46,11,46,Leave_Home
154,2010-11-12,11,46,11,46,Enter_Home
155,2010-11-12,11,46,11,46,Leave_Home
156,2010-11-12,13,43,13,43,Enter_Home
157,2010-11-12,13,48,13,48,Leave_Home
158,2010-11-12,13,48,13,48,Enter_Home
159,2010-11-12,13,50,13,51,Meal_Preparation
160,2010-11-12,13,51,14,3,Eating
161,2010-11-12,14,21,14,21,Leave_Home
162,2010-11-12,15,12,15,12,Enter_Home
163,2010-11-12,15,23,15,56,Work
164,2010-11-12,15,57,16,9,Housekeeping
165,2010-11-12,16,10,16,38,Work
166,2010-11-12,16,39,16,40,Meal_Preparation
167,2010-11-12,16,42,16,42,Leave_Home
168,2010-11-12,16,43,16,43,Enter_Home
169,2010-11-12,16,43,16,44,Meal_Preparation
170,2010-11-12,16,45,16,54,Eating
171,2010-11-12,16,56,23,41,Relax
172,2010-11-12,23,56,5,16,Sleeping
173,2010-11-13,5,17,5,20,Bed_to_Toilet
174,2010-11-13,5,22,8,54,Sleeping
175,2010-11-13,8,57,9,29,Meal_Preparation
176,2010-11-13,9,50,13,50,Relax
177,2010-11-13,14,2,14,6,Meal_Preparation
178,2010-11-13,14,6,14,14,Eating
179,2010-11-13,14,18,15,47,Relax
180,2010-11-13,16,1,18,9,Work
181,2010-11-13,18,10,19,6,Meal_Preparation
182,2010-11-13,19,7,19,20,Eating
183,2010-11-13,19,20,19,22,Wash_Dishes
184,2010-11-13,19,33,22,25,Relax
185,2010-11-13,22,38,6,2,Sleeping
186,2010-11-14,6,10,6,27,Meal_Preparation
187,2010-11-14,6,28,6,36,Eating
188,2010-11-14,6,37,6,40,Wash_Dishes
189,2010-11-14,6,40,8,18,Relax
190,2010-11-14,8,20,8,20,Leave_Home
191,2010-11-14,12,2,12,2,Enter_Home
192,2010-11-14,12,4,12,23,Relax
193,2010-11-14,17,28,17,36,Meal_Preparation
194,2010-11-14,17,57,18,10,Relax
195,2010-11-14,18,11,18,16,Meal_Preparation
196,2010-11-14,18,16,18,27,Relax
197,2010-11-14,18,32,18,33,Meal_Preparation
198,2010-11-14,18,33,19,27,Relax
199,2010-11-14,19,28,19,29,Meal_Preparation
200,2010-11-14,19,29,23,44,Relax
201,2010-11-14,23,54,5,32,Sleeping
202,2010-11-15,5,32,5,35,Bed_to_Toilet
203,2010-11-15,5,35,7,33,Sleeping
204,2010-11-15,7,39,8,28,Meal_Preparation
205,2010-11-15,9,3,10,21,Relax
206,2010-11-15,10,21,10,27,Work
207,2010-11-15,10,36,10,39,Housekeeping
208,2010-11-15,10,41,10,41,Leave_Home
209,2010-11-15,11,46,11,46,Enter_Home
210,2010-11-15,11,52,11,52,Leave_Home
211,2010-11-15,14,48,14,48,Enter_Home
212,2010-11-15,14,49,14,49,Leave_Home
213,2010-11-15,14,50,14,50,Enter_Home
214,2010-11-15,14,59,14,59,Leave_Home
215,2010-11-15,14,59,15,0,Enter_Home
216,2010-11-15,15,2,15,2,Leave_Home
217,2010-11-15,15,3,15,3,Enter_Home
218,2010-11-15,15,4,15,4,Leave_Home
219,2010-11-15,15,4,15,5,Enter_Home
220,2010-11-15,15,5,15,5,Leave_Home
221,2010-11-15,15,6,15,6,Enter_Home
222,2010-11-15,15,6,15,8,Meal_Preparation
223,2010-11-15,15,8,15,39,Eating
224,2010-11-15,15,39,15,46,Wash_Dishes
225,2010-11-15,15,58,16,8,Relax
226,2010-11-15,16,15,16,15,Leave_Home
227,2010-11-15,19,8,19,8,Enter_Home
228,2010-11-15,19,15,19,30,Meal_Preparation
229,2010-11-15,19,31,19,39,Eating
230,2010-11-15,19,42,22,0,Relax
231,2010-11-15,23,48,0,37,Sleeping
232,2010-11-16,0,37,0,39,Bed_to_Toilet
233,2010-11-16,0,39,8,48,Sleeping
234,2010-11-16,9,1,9,16,Meal_Preparation
235,2010-11-16,9,17,9,32,Relax
236,2010-11-16,9,32,9,36,Meal_Preparation
237,2010-11-16,9,36,9,51,Relax
238,2010-11-16,9,51,9,52,Meal_Preparation
239,2010-11-16,9,52,10,3,Eating
240,2010-11-16,10,13,10,19,Wash_Dishes
